Text,Emotion
I’ve had enough of this nonsense!.,Angry
I can’t believe this just happened!!!,Surprised
I'm so furious about this injustice!!,Angry
This is the worst thing I’ve ever experienced.,Disgust
Life feels so empty without them....,Sad
I’m terrified of what might happen.,Fear
Why would anyone do something so gross?.,Disgust
We can discuss this calmly and logically.!!,Calm
Why would anyone do something so gross?!,Disgust
Why would anyone do something so gross?.,Disgust
I'm absolutely delighted with the results!...,Happy
"Oh wow, this is unbelievable!.",Surprised
Let’s just focus on finding a solution..,Calm
"Oh wow, this is unbelievable!.",Surprised
This is making me so angry!!!,Angry
Why does this always happen to me?,Sad
Why does this always happen to me?.,Sad
"Everything is under control, don’t worry..",Calm
"That’s so dirty, I can’t touch it.",Disgust
I feel on top of the world today!...,Happy
I feel on top of the world today!!!,Happy
I’m really scared right now..,Fear
I'm so furious about this injustice!,Angry
I'm heartbroken about what happened.!!,Sad
This is making me so angry!.,Angry
I can’t believe how horrible this is.!,Disgust
Life feels so empty without them.,Sad
"Stop wasting my time, I’m sick of it!!!",Angry
"I can't stand this anymore, it's frustrating!",Angry
This party is so much fun!...,Happy
"No way, are you serious?...",Surprised
I feel like something bad is going to happen.,Fear
This place is giving me chills.!!,Fear
I’m okay with whatever you decide.,Calm
I won’t tolerate this behavior anymore!,Angry
I can’t stand the sight of this.,Disgust
What if everything goes wrong?,Fear
I can’t believe how horrible this is.!,Disgust
Everything seems hopeless right now.,Sad
We can discuss this calmly and logically.!,Calm
I just want to be left alone.!,Sad
I’ve lost all motivation to keep going....,Sad
"I can't stand this anymore, it's frustrating!",Angry
"Stop wasting my time, I’m sick of it!!",Angry
This is the worst thing I’ve ever experienced.!,Disgust
That was completely out of the blue!...,Surprised
This is making me so angry!.,Angry
I’m terrified of what might happen.,Fear
I'm so excited about this new project!,Happy
This party is so much fun!!!,Happy
We can discuss this calmly and logically..,Calm
I feel like something bad is going to happen.!!,Fear
"I can’t stop crying, it hurts so much..",Sad
I feel nauseous just thinking about it....,Disgust
It doesn’t really bother me either way.,Calm
This is making me so angry!.,Angry
This party is so much fun!...,Happy
This place is giving me chills.,Fear
Everything is going better than I expected!.,Happy
I'm heartbroken about what happened..,Sad
This is completely unacceptable!!,Angry
"I can’t stop smiling, this is amazing!!",Happy
