Emotion,Sentence
Happy,She seem glad with friends
Happy,We look glad right now
Happy,I are happy today
Happy,They feel happy this morning
Happy,I feel excited today
Happy,They seem joyful today
Happy,He seem glad right now
Happy,We seem happy this morning
Happy,They seem happy inside
Happy,I look excited right now
Happy,She feel happy with friends
Happy,He look happy inside
Happy,She seem glad with friends
Happy,She are cheerful today
Happy,They look excited today
Happy,They look happy inside
Happy,He are cheerful right now
Happy,I look happy today
Happy,She seem happy this morning
Happy,He look glad inside
Happy,They feel joyful with friends
Happy,They are joyful right now
Happy,I look excited right now
Happy,I are happy this morning
Happy,They look cheerful inside
Happy,She feel glad today
Happy,We look excited right now
Happy,They look excited this morning
Happy,She feel happy today
Happy,She look glad today
Happy,We look cheerful inside
Happy,They look glad this morning
Happy,We feel happy inside
Happy,They look cheerful with friends
Happy,She seem glad today
Happy,He look joyful right now
Happy,I seem glad inside
Happy,We are happy right now
Happy,She are glad with friends
Happy,I are glad with friends
Happy,They look joyful inside
Happy,She are cheerful this morning
Happy,We seem happy right now
Happy,She are happy today
Happy,I seem glad right now
Happy,I look cheerful inside
Happy,They seem cheerful inside
Happy,He look cheerful with friends
Happy,We seem glad today
Happy,She are happy inside
Happy,They seem glad this morning
Happy,I feel glad with friends
Happy,We look excited this morning
Happy,She are excited inside
Happy,We look cheerful this morning
Happy,We are excited with friends
Happy,They seem happy today
Happy,They are joyful this morning
Happy,She seem joyful today
Happy,They look cheerful with friends
Happy,I feel cheerful this morning
Happy,She feel excited inside
Happy,We look glad inside
Happy,I seem excited today
Happy,He seem glad with friends
Happy,We feel joyful right now
Happy,I are glad today
Happy,I seem excited inside
Happy,I look excited this morning
Happy,They seem happy today
Happy,He look cheerful with friends
Happy,He feel excited with friends
Happy,They are joyful with friends
Happy,I are happy with friends
Happy,We look cheerful this morning
Happy,I feel excited this morning
Happy,She look cheerful this morning
Happy,He feel happy today
Happy,I are happy today
Happy,I seem glad with friends
Happy,I look excited inside
Happy,I feel happy today
Happy,We look cheerful right now
Happy,I seem cheerful this morning
Happy,He feel excited inside
Happy,They seem happy with friends
Happy,I feel happy with friends
Happy,I look happy inside
Happy,They are cheerful this morning
Happy,They look happy today
Happy,I feel joyful with friends
Happy,We look happy inside
Happy,They feel joyful right now
Happy,He feel joyful today
Happy,We are excited right now
Happy,She are happy this morning
